CITY,MONUMENT,YEAR_2019_20,YEAR_2020_21,YEAR_2021_22,YEAR_2022_23,YEAR_2023_24,GROWTH_2020_21_VS_2019_20,GROWTH_2021_22_VS_2020_21,GROWTH_2022_23_VS_2021_22,GROWTH_2023_24_VS_2022_23
Agra,Agra Fort,1627154.0,371242.0,1027462.0,1722213.0,1410397.0,-77.2,176.8,67.6,-18.1
Agra,Akbar Tomb Sikandra,229270.0,99509.0,187182.0,267509.0,199310.0,-56.6,88.1,42.9,-25.5
Agra,Fatehpur Sikri,454376.0,107835.0,157253.0,443689.0,315212.0,-76.3,45.8,182.1,-29.0
Agra,Itimad-ud-Daulah Tomb,132800.0,41016.0,90711.0,152495.0,186037.0,-69.1,121.2,68.1,22.0
Agra,Mariam tomb Sikandra,22517.0,9765.0,17537.0,39335.0,18201.0,-56.6,79.6,124.3,-53.7
Agra,Mausoleum,474462.0,91185.0,317653.0,766014.0,709754.0,-80.8,248.4,141.1,-7.3
Agra,Mehtab Bagh,178574.0,62652.0,86213.0,111302.0,116458.0,-64.9,37.6,29.1,4.6
Agra,Ram Bagh,84051.0,18599.0,30965.0,67489.0,56792.0,-77.9,66.5,118.0,-15.8
Agra,Taj Mahal,4429710.0,1259892.0,3294611.0,5052712.0,6098876.0,-71.6,161.5,53.4,20.7
Amaravati,Amaravati mahastupa,8038.0,1864.0,3741.0,5584.0,6181.0,-76.8,100.7,49.3,10.7
Amaravati,Buddhist Remains on hill top at Guntupalli W.G.District,22353.0,10219.0,14134.0,21603.0,16626.0,-54.3,38.3,52.8,-23.0
Amaravati,Chandragiri Monument,103489.0,51113.0,80189.0,115676.0,123200.0,-50.6,56.9,44.3,6.5
Amaravati,Nagarjuna Kunda,19762.0,0.0,2611.0,64591.0,46969.0,-100.0,,2373.8,-27.3
Amaravati,Undavalli caves,109307.0,52924.0,77133.0,127594.0,136853.0,-51.6,45.7,65.4,7.3
Aurangabad,Ajanta Caves,273344.0,47554.0,138503.0,401086.0,452182.0,-82.6,191.3,189.6,12.7
Aurangabad,Aurangabad Caves,182032.0,34976.0,68642.0,115500.0,132518.0,-80.8,96.3,68.3,14.7
Aurangabad,Daulatabad Fort,515935.0,105434.0,204834.0,516144.0,547569.0,-79.6,94.3,152.0,6.1
Aurangabad,Ellora Caves,1259261.0,163313.0,411915.0,1437560.0,1740513.0,-87.0,152.2,249.0,21.1
Aurangabad,Pandulena Caves,202871.0,29.0,72661.0,170146.0,146016.0,-100.0,250455.2,134.2,-14.2
Aurangabad,Tomb of Rabia Durani (Bibi ka Maqbara),1111778.0,203791.0,397374.0,1183263.0,1295076.0,-81.7,95.0,197.8,9.4
Bangalore,Dariya Daulath Bagh,646560.0,89006.0,142935.0,436759.0,547480.0,-86.2,60.6,205.6,25.4
Bangalore,Fortress and Temple Chitrudurga Fort,338340.0,144862.0,210483.0,407714.0,446569.0,-57.2,45.3,93.7,9.5
Bangalore,Keshava Temple,178425.0,64222.0,75793.0,143360.0,169182.0,-64.0,18.0,89.1,18.0
Bangalore,Palace of Tipu Sultan,256964.0,38706.0,100193.0,248490.0,260269.0,-84.9,158.9,148.0,4.7
Bhopal,Badal Mahal Gatwway Chanderi,13708.0,9689.0,11027.0,8637.0,2887.0,-29.3,13.8,-21.7,-66.6
