CITY,MONUMENT,YEAR_2019_20,YEAR_2020_21,YEAR_2021_22,YEAR_2022_23,YEAR_2023_24,GROWTH_2020_21_VS_2019_20,GROWTH_2021_22_VS_2020_21,GROWTH_2022_23_VS_2021_22,GROWTH_2023_24_VS_2022_23
Agra,Agra Fort,386522.0,2810.0,13598.0,139400.0,218144.0,-99.3,383.9,925.2,56.5
Agra,Akbar Tomb Sikandra,19625.0,321.0,1028.0,9175.0,15914.0,-98.4,220.2,792.5,73.4
Agra,Fatehpur Sikri,184751.0,574.0,2122.0,62238.0,93963.0,-99.7,269.7,2833.0,51.0
Agra,Itimad-ud-Daulah Tomb,82692.0,410.0,1927.0,44390.0,84326.0,-99.5,370.0,2203.6,90.0
Agra,Mariam tomb Sikandra,414.0,31.0,98.0,338.0,162.0,-92.5,216.1,244.9,-52.1
Agra,Mausoleum,12536.0,321.0,643.0,882.0,4142.0,-97.4,100.3,37.2,369.6
Agra,Mehtab Bagh,62325.0,544.0,1653.0,17079.0,24584.0,-99.1,203.9,933.2,43.9
Agra,Ram Bagh,355.0,54.0,95.0,1841.0,2073.0,-84.8,75.9,1837.9,12.6
Agra,Taj Mahal,645415.0,9034.0,38922.0,396900.0,681339.0,-98.6,330.8,919.7,71.7
Amaravati,Amaravati mahastupa,285.0,0.0,17.0,0.0,106.0,-100.0,,-100.0,
Amaravati,Buddhist Remains on hill top at Guntupalli W.G.District,85.0,10.0,22.0,66.0,35.0,-88.2,120.0,200.0,-47.0
Amaravati,Chandragiri Monument,109.0,38.0,33.0,80.0,97.0,-65.1,-13.2,142.4,21.2
Amaravati,Nagarjuna Kunda,35.0,0.0,0.0,379.0,452.0,-100.0,,,19.3
Amaravati,Undavalli caves,494.0,89.0,40.0,362.0,411.0,-82.0,-55.1,805.0,13.5
Aurangabad,Ajanta Caves,15899.0,82.0,662.0,10437.0,18829.0,-99.5,707.3,1476.6,80.4
Aurangabad,Aurangabad Caves,2690.0,19.0,79.0,852.0,1495.0,-99.3,315.8,978.5,75.5
Aurangabad,Daulatabad Fort,5729.0,49.0,264.0,2565.0,3809.0,-99.1,438.8,871.6,48.5
Aurangabad,Ellora Caves,21426.0,159.0,911.0,12464.0,19643.0,-99.3,473.0,1268.2,57.6
Aurangabad,Pandulena Caves,1128.0,0.0,221.0,795.0,1048.0,-100.0,,259.7,31.8
Aurangabad,Tomb of Rabia Durani (Bibi ka Maqbara),9530.0,100.0,536.0,5606.0,9606.0,-99.0,436.0,945.9,71.4
