Festival Name,Type,State,Month/Season,Description
Diwali,National,All States,October/November,"The Festival of Lights is one of the most significant Hindu festivals celebrated across India. It marks the return of Lord Rama to Ayodhya after 14 years of exile and symbolizes the victory of light over darkness. People decorate their homes with diyas (oil lamps), rangoli, and lights, burst fireworks, exchange sweets and gifts, and worship Goddess Lakshmi for prosperity."
Holi,National,All States,March,"Known as the Festival of Colors, Holi celebrates the arrival of spring and the victory of good over evil. People play with colored powders (gulal), throw water balloons, dance to folk music, and enjoy traditional foods like gujiya and thandai. The festival is particularly vibrant in North India, especially in Mathura and Vrindavan."
Dussehra,National,All States,September/October,"Also called Vijayadashami, this festival celebrates the victory of good over evil, commemorating Lord Rama's victory over Ravana and Goddess Durga's triumph over Mahishasura. Large effigies of Ravana are burned, and in some regions, it marks the end of Durga Puja. The festival signifies the importance of truth and righteousness."
Eid ul-Fitr,National,All States,Varies (Lunar Calendar),"This Islamic festival marks the end of Ramadan, the holy month of fasting. Muslims gather for special prayers, give charity (Zakat al-Fitr), prepare elaborate feasts, wear new clothes, and exchange gifts. Traditional foods like biryani, kebabs, and sweet dishes like sheer khurma are prepared. The festival emphasizes community, forgiveness, and gratitude."
Christmas,National,All States,December,"Celebrating the birth of Jesus Christ, Christmas is observed by Christians and many non-Christians across India. Churches hold midnight masses, homes are decorated with Christmas trees and lights, carol singing is common, and traditional foods like Christmas cake and wine are prepared. The festival promotes love, peace, and goodwill among all."
Ganesh Chaturthi,National,All States,August/September,"This festival honors Lord Ganesha, the remover of obstacles and patron of arts and sciences. Clay idols of Ganesha are installed in homes and public pandals, prayers and cultural programs are organized, and the festival concludes with the immersion of idols in water bodies. Maharashtra celebrates this festival with particular grandeur."
Navratri,National,All States,September/October,"A nine-night festival dedicated to the nine forms of Goddess Durga. Devotees fast, perform traditional dances like Garba and Dandiya (especially in Gujarat), and worship the goddess with elaborate decorations and prayers. Each day represents a different form of the goddess, and the festival culminates with Dussehra."
Janmashtami,National,All States,August/September,"Celebrating the birth of Lord Krishna, this festival involves fasting, singing devotional songs, performing dance-dramas depicting Krishna's life, and the popular tradition of Dahi Handi (human pyramids to break pots of curd). Temples are beautifully decorated, and devotees often dress children as Krishna and Radha."
Raksha Bandhan,National,All States,August,"A festival celebrating the bond between brothers and sisters. Sisters tie sacred threads (rakhi) on their brothers' wrists, perform aarti, and pray for their well-being. Brothers pledge to protect their sisters and give them gifts. The festival strengthens family bonds and is celebrated across religious communities."
Karva Chauth,National,All States,October/November,"A festival observed by married Hindu women who fast from sunrise to moonrise for the safety and longevity of their husbands. Women dress in traditional attire, apply henna, and break their fast after seeing the moon through a sieve and then their husband's face. The festival is particularly popular in North India."
Makar Sankranti,National,All States,January,"Marking the sun's transition into Capricorn, this harvest festival is celebrated with kite flying, traditional sweets made of sesame and jaggery, and holy dips in rivers. Different states celebrate it with various names and customs - Pongal in Tamil Nadu, Lohri in Punjab, and Uttarayan in Gujarat."
Ugadi,State,Andhra Pradesh,March-April,"Ugadi marks the Telugu New Year and is celebrated with great enthusiasm across Andhra Pradesh. The festival signifies the beginning of a new era and is observed on the first day of Chaitra month according to the lunar calendar. Homes are decorated with mango leaves and colorful rangoli patterns called muggulu. The highlight of the celebration is the preparation and consumption of Ugadi pachadi, a unique mixture of six tastes (sweet, sour, salty, bitter, tangy, and spicy) representing the different experiences of life. People wear new clothes, visit temples, and exchange greetings. The festival also involves hoisting the Ugadi flag and listening to the Panchanga Sravanam (yearly predictions)."
Losar,State,Arunachal Pradesh,February-March,"Losar is the Tibetan New Year celebrated by the Buddhist communities in Arunachal Pradesh, particularly the Monpa tribe. This three-day festival marks the beginning of the lunar new year and is celebrated with traditional dances, prayers, and feasts. Monasteries are decorated with colorful prayer flags and butter lamps. People prepare traditional delicacies like khapse (fried pastries) and chang (barley beer). The celebration includes mask dances called Cham, performed by monks wearing elaborate costumes. Families clean their homes, wear traditional attire, and visit monasteries to offer prayers for prosperity and good health in the coming year."
Rongali Bihu,State,Assam,April,"Rongali Bihu, also known as Bohag Bihu, is the most important festival of Assam marking the Assamese New Year and the arrival of spring. This week-long celebration is deeply rooted in agriculture and celebrates the sowing season. The festival features traditional Bihu dances performed by young men and women in colorful traditional attire like mekhela sador and dhoti-kurta. People prepare traditional sweets like pitha and laru. The celebration includes community feasts, folk songs, and the exchange of gamochas (traditional towels). Cattle are bathed and worshipped, and fields are blessed for a good harvest. The festival promotes cultural unity and preserves Assamese traditions."
Chhath Puja,State,Bihar,October-November,"Chhath Puja is a four-day ancient Hindu festival dedicated to Lord Surya (Sun God) and his consort Shashti Devi. This rigorous festival involves strict fasting, holy bathing, and standing in water for long periods while offering prayers. Devotees, mainly women, observe nirjala vrat (fast without water) for 36 hours and stand in rivers or water bodies offering arghya (water offerings) to the rising and setting sun. The festival includes the preparation of traditional offerings like thekua, kheer, and fruits arranged in bamboo baskets called daura. The celebration emphasizes purity, devotion, and gratitude towards nature. It's considered one of the most challenging and spiritually significant festivals in Hindu culture."
Hareli,State,Chhattisgarh,July-August,"Hareli is a monsoon festival celebrated by the farming community of Chhattisgarh to mark the beginning of the sowing season. The festival is observed on the new moon day of Shravan month when farmers start planting their crops. People worship agricultural tools like plows, sickles, and bulls, decorating them with flowers and offering prayers for a good harvest. Traditional sports and cultural programs are organized in villages. Women prepare special dishes using newly harvested vegetables and grains. The festival also involves the planting of trees and environmental conservation activities. Folk dances and songs related to farming and nature are performed, making it a celebration of agricultural heritage and ecological harmony."
Carnival,State,Goa,February-March,"The Goa Carnival is a vibrant four-day festival that reflects the state's Portuguese colonial heritage blended with Indian traditions. This pre-Lenten celebration features colorful parades with elaborate floats, street dancing, music, and masquerade balls. King Momo leads the festivities, declaring the start of carnival with his royal decree to eat, drink, and be merry. People wear fancy costumes, masks, and participate in street performances. Traditional Goan folk dances like Fugdi and Dhalo are performed alongside modern music. The festival includes competitions for the best floats, costumes, and performances. Local delicacies and beverages are enjoyed throughout the celebration, making it a perfect blend of European carnival traditions with Goan culture."
Rann Utsav,State,Gujarat,November-February,"Rann Utsav is a cultural festival celebrated in the white salt desert of Kutch, showcasing Gujarat's rich heritage and craftsmanship. This three-month-long festival transforms the barren landscape into a vibrant cultural hub with traditional handicrafts, folk performances, and adventure activities. Visitors can experience authentic Gujarati culture through folk dances like Garba and Bharwad, traditional music, and local cuisine. The festival features camel rides, hot air balloon rides, and desert camping under the starlit sky. Artisans display their skills in embroidery, mirror work, pottery, and weaving. The full moon nights offer a magical experience as the white salt desert appears to glow silver, creating one of the most spectacular natural phenomena in India."
Teej,State,Haryana,July-August,"Teej is a monsoon festival celebrated by married women in Haryana to pray for the well-being and long life of their husbands. The festival coincides with the arrival of monsoon and is marked by swinging on decorated jhulas (swings) hung from trees. Women dress in green and red traditional attire, apply henna on their hands, and fast for their husbands' prosperity. The celebration includes folk songs, traditional dances, and the preparation of special sweets like ghevar and kheer. Newly married women receive gifts from their maternal homes. The festival creates a joyous atmosphere with women gathering in groups, sharing stories, and celebrating sisterhood. It's a beautiful celebration of marital bliss and the monsoon season."
Shimla Summer Festival,State,Himachal Pradesh,May-June,"The Shimla Summer Festival is a week-long cultural extravaganza held in the hill station of Shimla to celebrate the peak tourist season. This festival showcases the rich cultural heritage of Himachal Pradesh through folk dances, music performances, and traditional competitions. Events include flower shows, fashion shows featuring traditional Himachali attire, handicraft exhibitions, and adventure sports. The festival features performances by local artists presenting Himachali folk dances like Nati and traditional songs. Food stalls offer local delicacies like siddu, chana madra, and dhaam. The celebration also includes heritage walks, photography competitions, and cultural workshops, making it a perfect blend of tradition and tourism promotion."
Sarhul,State,Jharkhand,March-April,"Sarhul is the most significant festival of the tribal communities in Jharkhand, particularly celebrated by the Oraon, Munda, and Ho tribes. This spring festival is dedicated to nature worship and marks the blossoming of sal trees. The celebration begins with the village priest offering prayers to the village deity and sal trees, which are considered sacred. Tribal dances like Karma and Jhumar are performed around decorated sal trees. The festival includes traditional music played on instruments like mandar, dhol, and flute. People prepare traditional drinks like handia (rice beer) and mahua. The celebration emphasizes the deep connection between tribal communities and nature, promoting environmental conservation and cultural preservation."
