Month,2021,2022,2023,Growth 2022/21 (),Growth 2023/22 ()
January,"5,81,000","7,31,848","15,98,012",26,118.4
February,"5,41,430","7,45,608","14,92,091",37.7,100.1
March,"6,13,085","10,13,967","15,05,653",65.3,48.5
April,"4,91,807","11,42,523","13,85,508",132.3,21.3
May,"2,24,663","11,18,772","13,81,956",398,23.5
June,"2,53,543","13,20,293","16,82,396",420.7,27.4
July,"4,11,527","15,38,050","17,06,540",273.7,10.9
August,"4,57,561","11,00,609","13,72,177",140.5,24.7
September,"5,50,855","10,47,229","12,55,687",90.1,19.9
October,"8,45,186","13,05,864","15,46,528",54.5,18.4
November,"9,47,525","14,48,754","18,42,456",52.9,27.2
December,"10,91,453","18,16,160","21,30,206",66.4,17.3
