Month,2017,2018,2019,2020,2021,2022,2023,Growth_2018_17,Growth_2019_18,Growth_2020_19,Growth_2021_20,Growth_2022_21,Growth_2023_22
January,1404941,1497263,1551947,1730952,581000,731848,1598012,6.6,3.7,11.5,-66.4,26.0,118.4
February,1326228,1502557,1492719,1513549,541430,745608,1492091,13.3,-0.7,1.4,-64.2,37.7,100.1
March,1391369,1525630,1462838,615985,613085,1013967,1505653,9.6,-4.1,-57.9,-0.5,65.4,48.5
April,1276611,1241564,1282355,3053,491807,1142523,1385508,-2.7,3.3,-99.8,16009.0,132.3,21.3
May,1185429,1135936,1233736,29524,224663,1118772,1381956,-4.2,8.6,-97.6,661.0,398.0,23.5
June,1390124,1407273,1395170,189546,253543,1320293,1682396,1.2,-0.9,-86.4,33.8,420.7,27.4
July,1511202,1581095,1593705,297298,411527,1538050,1706540,4.6,0.8,-81.3,38.4,273.7,10.9
August,1402735,1471506,1474406,290430,457561,1100609,1372177,4.9,0.2,-80.3,57.5,140.5,24.7
September,1186721,1167934,1241027,302558,550855,1047229,1255687,-1.6,6.3,-75.6,82.1,90.1,19.9
October,1384658,1417609,1569480,373708,845186,1305864,1546528,2.4,10.7,-76.2,126.2,54.5,18.4
November,1546386,1600931,1699316,477918,947525,1448754,1842456,3.5,6.1,-71.9,98.3,52.9,27.2
December,1799438,1874122,1916815,512601,1091453,1816160,2130206,4.2,2.3,-73.3,112.9,66.4,17.3
