NATIONALITY,LEAN_MONTH,PEAK_MONTH,LEAN_MONTH_PERCENTAGE_SHARE,PEAK_MONTH_PERCENTAGE_SHARE
Bangladesh,August,March,7.6,9.4
USA,September,December,5.3,14.5
UK,June,December,4.4,12.3
Australia,May,December,4.4,20.6
Canada,May,January,4.9,13.9
Sri Lanka,December,August,6.9,10.5
Malaysia,May,August,6.4,10.1
Germany,May,October,5.1,10.9
Nepal,May,October,6.3,11.1
France,May,February,4.8,11.3
Singapore,April,December,6.6,12.9
Russian Fed,July,January,3.1,16.3
Japan,May,November,6.5,11.4
Thailand,May,December,4.3,13.8
Italy,May,December,4.3,14.8
