Sl. No.,State/ UT,2020 - Foreign,2021 - Foreign,2022 (P) - Foreign
1,Andaman and Nicobar Islands,5.4,1.7,4.5
2,Andhra Pradesh,67.6,27.6,165.8
3,Arunachal Pradesh,1,0.2,1
4,Assam,7.3,0.5,9
5,Bihar,308.1,1,86.8
6,Chandigarh,12.2,5.5,26.2
7,Chhattisgarh,2.3,0,0.6
8,Dadra and Nagar Haveli,0.2,0.1,0.5
9,Daman and Diu,1.4,0.1,1.3
10,Delhi,681.2,100.2,100.2
11,Goa,302.8,22.1,179.7
12,Gujarat,210,11.3,2196
13,Haryana,17.5,4.6,10.9
14,Himachal Pradesh,42.7,4.9,29.3
15,Jammu and Kashmir,5.3,1.7,20
16,Jharkhand,0.5,1.6,192.3
17,Karnataka,165.3,72.5,128.5
18,Kerala,340.8,60.5,345.5
19,Lakshadweep,0.4,0,0.1
20,Madhya Pradesh,99.8,41.6,174
21,Maharashtra,1262.4,185.6,185.6
22,Manipur,3.1,0.6,3.9
23,Meghalaya,2.3,0.4,7.9
24,Mizoram,0.3,0.2,2.6
25,Nagaland,0.5,0.3,2.9
26,Odisha,10.2,2.3,22.1
27,Puducherry,92.1,0.3,0.9
28,Punjab,359.1,308.1,329.5
29,Rajasthan,446.5,34.8,396.7
30,Sikkim,19.9,11.5,68.6
31,Tamil Nadu,1228.3,57.6,329.9
32,Tripura,31.9,0,8.5
33,Telangana,46.7,5.9,68.4
34,Uttar Pradesh,890.9,44.7,213.9
35,Uttarakhand,41.3,8.5,61.6
36,West Bengal,463.3,34.8,1037
37,Ladakh,1.1,1.1,21.3
