State,Domestic_Visits_in_Lakhs
A&N Island,5.05
Andhra Pradesh,2370.52
Arunachal Pradesh,5.56
Assam,54.48
Bihar,339.9
Chandigarh,15.64
Chhattisgarh,173.05
Dadra & Nagar Haveli,6.18
Daman & Diu,8.98
Delhi,364.68
Goa,71.27
Gujarat,588.65
Haryana,45.49
Himachal Pradesh,168.29
Jharkhand,355.81
J&K,161.63
Karnataka,2279.35
Kerala,183.84
Lakshdweep,0.07
Ladakh,2.41
Madhya Pradesh,887.07
Maharashtra,1492.95
Manipur,1.68
Meghalaya,12.46
Mizoram,1.64
Nagaland,1.26
Odisha,153.08
Puducherry,17.13
Punjab,473.85
Rajasthan,522.2
Sikkim,14.22
Tamil Nadu,4948.65
Telengana,830.36
Tripura,4.37
Uttar Pradesh,5358.55
Uttarakhand,375.86
West Bengal,923.66
