REGION,STATE,YEAR_2017,YEAR_2018,YEAR_2019,YEAR_2020,YEAR_2021,YEAR_2022,YEAR_2023
EAST,Andaman & Nicobar Islands,471920,498280,505000,191000,126200,235000,323000
EAST,Bihar,32414060,33621610,33990000,5638000,2501200,25330000,81586000
EAST,Jharkhand,33723190,35408820,35581000,2575000,3383600,38284000,35776000
EAST,Odisha,14011230,15208540,15308000,4622000,3742200,7868000,9725000
EAST,West Bengal,79630350,85657370,92366000,28842000,24326000,84542000,145669000
NORTH,Chandigarh,1425780,1538800,1564000,418000,228800,3027000,366000
NORTH,Delhi,29114420,29114420,36468000,9584000,10642500,27186000,39415000
NORTH,Haryana,6050330,4888950,4549000,2115000,2025500,2108000,2012000
NORTH,Himachal Pradesh,19130540,16093940,16829000,3171000,5632300,15071000,15942000
NORTH,Jammu & Kashmir,14235470,17076320,16163000,2520000,11314900,18499000,20679000
NORTH,Ladakh,0,0,241000,7000,303000,510000,759000
NORTH,Punjab,40293350,44595060,47385000,16692000,26640400,26089000,35708000
NORTH,Rajasthan,45916570,50235640,52220000,15117000,21988700,108328000,179052000
NORTH,Uttar Pradesh,233977620,285079850,535855000,86122000,109708400,317914000,478526000
NORTH,Uttarakhand,34359990,35609650,37586000,7005000,19434500,54643000,58141000
NORTH EAST,Arunachal Pradesh,444010,512440,556000,43000,102900,222000,1041000
NORTH EAST,Assam,6052670,5856280,5448000,1267000,1409200,8382000,7613000
NORTH EAST,Manipur,153450,176110,168000,50000,49400,140000,58000
NORTH EAST,Meghalaya,990860,1198340,1246000,25000,154400,937000,1372000
NORTH EAST,Mizoram,67770,76550,164000,31000,87200,218000,209000
NORTH EAST,Nagaland,63360,101590,126000,11000,24000,97000,100000
NORTH EAST,Sikkim,1375850,1426130,1422000,316000,511700,1626000,1321000
NORTH EAST,Tripura,398670,414390,437000,128000,177800,236000,366000
SOUTH,Andhra Pradesh,165433900,194767870,237052000,70829000,93277600,192717000,254706000
SOUTH,Karnataka,179980190,214306460,227935000,77453000,81333700,182413000,284121000
SOUTH,Kerala,14673520,15604660,18384000,4989000,7537600,18867000,21872000
SOUTH,Lakshadweep,6620,10440,7000,3000,13500,23000,46000
SOUTH,Puducherry,1531970,1616660,1713000,1115000,1253200,1760000,2092000
SOUTH,Tamil Nadu,345061140,385909380,494865000,140651000,115336700,218585000,286012000
SOUTH,Telangana,85266600,92878330,83036000,39997000,32000600,60748000,58448000
WEST & CENTRAL,Chhattisgarh,17350030,19329500,17305000,2810000,4747400,23636000,26022000
WEST & CENTRAL,Goa,6895230,7081560,7127000,3259000,3308100,7012000,8175000
WEST & CENTRAL,Gujarat,48343120,54369870,58865000,19465000,24525200,135811000,178067000
WEST & CENTRAL,Madhya Pradesh,78038520,83969800,88707000,23520000,25554100,35849000,111946000
WEST & CENTRAL,Maharashtra,119191540,119191540,149295000,39235000,43569200,111298000,161360000
WEST & CENTRAL,UT of Dadra & Nagar Haveli and Daman and Diu,1413520,1508260,1516000,302000,297200,800000,1004000
