Region,State,Foreign_visits_in_thousands
NORTH,Chandigarh,28
NORTH,Delhi,816
NORTH,Haryana,2
NORTH,Himachal Pradesh,29
NORTH,Jammu & Kashmir,20
NORTH,Ladakh,21
NORTH,Punjab,329
NORTH,Rajasthan,397
NORTH,Uttar Pradesh,649
NORTH,Uttarakhand,62
EAST,Andaman & Nicobar Islands,4
EAST,Bihar,87
EAST,Jharkhand,192
EAST,Odisha,22
EAST,West Bengal,1037
NORTH EAST,Arunachal Pradesh,1
NORTH EAST,Assam,9
NORTH EAST,Manipur,4
NORTH EAST,Meghalaya,8
NORTH EAST,Mizoram,3
NORTH EAST,Nagaland,3
NORTH EAST,Sikkim,69
NORTH EAST,Tripura,8
WEST & CENTRAL,Chhattisgarh,0.2
WEST & CENTRAL,Goa,175
WEST & CENTRAL,Gujarat,1777
WEST & CENTRAL,Madhya Pradesh,204
WEST & CENTRAL,Maharashtra,1512
WEST & CENTRAL,UT of Dadra & Nagar Haveli and Daman and Diu,2
SOUTH,Andhra Pradesh,166
SOUTH,Karnataka,129
SOUTH,Kerala,346
SOUTH,Lakshadweep,0.1
SOUTH,Puducherry,1
SOUTH,Tamil Nadu,407
SOUTH,Telangana,68
