REGION,STATE,YEAR_2017,YEAR_2018,YEAR_2019,YEAR_2020,YEAR_2021,YEAR_2022,YEAR_2023
EAST,Andaman & Nicobar Islands,15.313,15.242,16.206,5.412,1.687,2.5,9.0
EAST,Bihar,1082.705,1087.971,1093.141,308.08,1.046,86.8,547.0
EAST,Jharkhand,170.987,175.801,176.043,0.49,1.637,192.3,189.0
EAST,Odisha,100.014,110.818,115.128,10.206,2.269,22.1,45.0
EAST,West Bengal,1574.915,1617.105,1656.145,463.285,34.828,1037.0,2707.0
NORTH,Chandigarh,31.832,39.681,44.132,12.218,5.451,28.4,31.0
NORTH,Delhi,2740.502,2740.502,2983.436,681.23,100.178,815.7,1828.0
NORTH,Haryana,193.381,73.977,48.046,17.474,4.578,2.4,1.0
NORTH,Himachal Pradesh,470.992,356.568,382.876,42.665,4.932,29.3,63.0
NORTH,Jammu & Kashmir,79.765,139.52,57.92,5.317,1.65,20.0,55.0
NORTH,Leh Ladakh,,,38.652,1.126,1.054,21.3,41.0
NORTH,Punjab,1108.635,1200.969,1101.343,359.114,308.135,329.5,742.0
NORTH,Rajasthan,1609.963,1754.348,1605.56,446.457,34.806,396.7,1700.0
NORTH,Uttar Pradesh,3556.204,3780.752,4745.181,890.932,44.737,649.0,1602.0
NORTH,Uttarakhand,133.725,151.32,152.273,41.339,8.532,61.6,143.0
NORTH EAST,Arunachal Pradesh,7.147,7.653,7.825,0.961,0.182,1.1,4.0
NORTH EAST,Assam,21.76,36.846,26.878,7.285,0.536,9.0,24.0
NORTH EAST,Manipur,3.497,6.391,13.608,3.139,0.648,3.9,4.0
NORTH EAST,Meghalaya,12.051,18.114,25.813,2.311,0.411,7.8,20.0
NORTH EAST,Mizoram,1.155,0.967,2.249,0.265,0.234,2.6,4.0
NORTH EAST,Nagaland,4.166,5.01,5.577,0.518,0.325,2.9,5.0
NORTH EAST,Sikkim,49.111,71.172,133.388,19.935,11.508,68.6,94.0
NORTH EAST,Tripura,69.899,102.861,154.405,31.877,0.005,8.5,67.0
SOUTH,Andhra Pradesh,271.362,281.083,280.356,67.591,27.551,165.8,60.0
SOUTH,Karnataka,498.148,543.716,608.754,165.325,72.487,128.5,409.0
SOUTH,Kerala,1091.87,1096.407,1189.771,340.755,60.487,345.5,649.0
SOUTH,Lakshadweep,1.027,1.313,0.82,0.413,0.004,0.1,1.0
SOUTH,Puducherry,131.407,141.133,149.919,92.08,0.321,0.9,31.0
SOUTH,Tamil Nadu,4860.455,6074.345,6866.327,1228.323,57.622,407.1,1175.0
SOUTH,Telangana,251.846,318.154,323.326,46.694,5.917,68.4,161.0
WEST & CENTRAL,Chhattisgarh,6.701,14.399,6.817,2.322,0.008,0.2,1.0
WEST & CENTRAL,Goa,842.22,933.841,937.113,302.751,22.128,174.8,453.0
WEST & CENTRAL,Gujarat,448.853,513.113,595.607,210.047,11.319,1777.2,2807.0
WEST & CENTRAL,Madhya Pradesh,359.119,375.476,327.958,99.819,41.601,204.5,183.0
WEST & CENTRAL,Maharashtra,5078.514,5078.514,5528.704,1262.409,185.643,1511.6,3388.0
WEST & CENTRAL,UT of Dadra & Nagar Haveli and Daman and Diu,15.08259,15.08259,15.08259,1.80259,1.80259,1.8,4.0
