REGION,STATE,YEAR_2017,YEAR_2018,YEAR_2019,YEAR_2020,YEAR_2021,YEAR_2022,YEAR_2023
EAST,Andaman & Nicobar Islands,15313,15242,16206,5412,1687,2500,9000
EAST,Bihar,1082705,1087971,1093141,308080,1046,86800,547000
EAST,Jharkhand,170987,175801,176043,490,1637,192300,189000
EAST,Odisha,100014,110818,115128,10206,2269,22100,45000
EAST,West Bengal,1574915,1617105,1656145,463285,34828,1037000,2707000
NORTH,Chandigarh,31832,39681,44132,12218,5451,28400,31000
NORTH,Delhi,2740502,2740502,2983436,681230,100178,815700,1828000
NORTH,Haryana,193381,73977,48046,17474,4578,2400,1000
NORTH,Himachal Pradesh,470992,356568,382876,42665,4932,29300,63000
NORTH,Jammu & Kashmir,79765,139520,57920,5317,1650,20000,55000
NORTH,Ladakh,0,0,38652,1126,1054,21300,41000
NORTH,Punjab,1108635,1200969,1101343,359114,308135,329500,742000
NORTH,Rajasthan,1609963,1754348,1605560,446457,34806,396700,1700000
NORTH,Uttar Pradesh,3556204,3780752,4745181,890932,44737,649000,1602000
NORTH,Uttarakhand,133725,151320,152273,41339,8532,61600,143000
NORTH EAST,Arunachal Pradesh,7147,7653,7825,961,182,1100,4000
NORTH EAST,Assam,21760,36846,26878,7285,536,9000,24000
NORTH EAST,Manipur,3497,6391,13608,3139,648,3900,4000
NORTH EAST,Meghalaya,12051,18114,25813,2311,411,7800,20000
NORTH EAST,Mizoram,1155,967,2249,265,234,2600,4000
NORTH EAST,Nagaland,4166,5010,5577,518,325,2900,5000
NORTH EAST,Sikkim,49111,71172,133388,19935,11508,68600,94000
NORTH EAST,Tripura,69899,102861,154405,31877,5,8500,67000
SOUTH,Andhra Pradesh,271362,281083,280356,67591,27551,165800,60000
SOUTH,Karnataka,498148,543716,608754,165325,72487,128500,409000
SOUTH,Kerala,1091870,1096407,1189771,340755,60487,345500,649000
SOUTH,Lakshadweep,1027,1313,820,413,4,100,1000
SOUTH,Puducherry,131407,141133,149919,92080,321,900,31000
SOUTH,Tamil Nadu,4860455,6074345,6866327,1228323,57622,407100,1175000
SOUTH,Telangana,251846,318154,323326,46694,5917,68400,161000
WEST & CENTRAL,Chhattisgarh,6701,14399,6817,2322,8,200,1000
WEST & CENTRAL,Goa,842220,933841,937113,302751,22128,174800,453000
WEST & CENTRAL,Gujarat,448853,513113,595607,210047,11319,1777200,2807000
WEST & CENTRAL,Madhya Pradesh,359119,375476,327958,99819,41601,204500,183000
WEST & CENTRAL,Maharashtra,5078514,5078514,5528704,1262409,185643,1511600,3388000
WEST & CENTRAL,UT of Dadra & Nagar Haveli and Daman and Diu,15083,15083,15083,1803,1803,1800,4000
