Region,State,Total_Tourist_Arrivals(in millions)
EAST,Andaman & Nicobar Islands,3.239
EAST,Bihar,816.407
EAST,Jharkhand,357.94899999999996
EAST,Odisha,97.295
EAST,West Bengal,1459.397
NORTH,Chandigarh,3.691
NORTH,Delhi,395.978
NORTH,Haryana,20.121000000000002
NORTH,Himachal Pradesh,159.483
NORTH,Jammu & Kashmir,206.84500000000003
NORTH,Ladakh,7.631
NORTH,Punjab,357.822
NORTH,Rajasthan,1792.22
NORTH,Uttar Pradesh,4786.861999999999
NORTH,Uttarakhand,581.5530000000001
NORTH EAST,Arunachal Pradesh,10.414
NORTH EAST,Assam,76.154
NORTH EAST,Manipur,0.584
NORTH EAST,Meghalaya,13.739999999999998
NORTH EAST,Mizoram,2.0940000000000003
NORTH EAST,Nagaland,1.0050000000000001
NORTH EAST,Sikkim,13.303999999999998
NORTH EAST,Tripura,3.7270000000000003
SOUTH,Andhra Pradesh,2547.12
SOUTH,Karnataka,2841.6189999999997
SOUTH,Kerala,219.36899999999997
SOUTH,Lakshadweep,0.46099999999999997
SOUTH,Puducherry,20.951
SOUTH,Tamil Nadu,2861.295
SOUTH,Telangana,584.641
WEST & CENTRAL,Chhattisgarh,260.221
WEST & CENTRAL,Goa,82.203
WEST & CENTRAL,Gujarat,1783.477
WEST & CENTRAL,Madhya Pradesh,1119.643
WEST & CENTRAL,Maharashtra,1616.9879999999998
WEST & CENTRAL,UT of Dadra & Nagar Haveli and Daman and Diu,10.044
