REGION,STATE,YEAR_2017,YEAR_2018,YEAR_2019,YEAR_2020,YEAR_2021,YEAR_2022,YEAR_2023
EAST,Andaman & Nicobar Islands,487233,513522,521206,196412,127887,237500,332000
EAST,Bihar,33496765,34709581,35083141,5946080,2502246,25416800,82133000
EAST,Jharkhand,33894177,35584621,35757043,2575490,3385237,38476300,35965000
EAST,Odisha,14111244,15319358,15423128,4632206,3744469,7890100,9770000
EAST,West Bengal,81205265,87274475,94022145,29305285,24360828,85579000,148376000
NORTH,Chandigarh,1457612,1578481,1608132,430218,234251,3055400,397000
NORTH,Delhi,31854922,31854922,39451436,10265230,10742678,28001700,41243000
NORTH,Haryana,6243711,4962927,4597046,2132474,2030078,2110400,2013000
NORTH,Himachal Pradesh,19601532,16450508,17211876,3213665,5637232,15100300,16005000
NORTH,Jammu & Kashmir,14315235,17215840,16220920,2525317,11316550,18519000,20734000
NORTH,Ladakh,0,0,279652,8126,304054,531300,800000
NORTH,Punjab,41401985,45796029,48486343,17051114,26948535,26418500,36450000
NORTH,Rajasthan,47526533,51989988,53825560,15563457,22023506,108724700,180752000
NORTH,Uttar Pradesh,237533824,288860602,540600181,87012932,109753137,318563000,480128000
NORTH,Uttarakhand,34493715,35760970,37738273,7046339,19443032,54704600,58284000
NORTH EAST,Arunachal Pradesh,451157,520093,563825,43961,103082,223100,1045000
NORTH EAST,Assam,6074430,5893126,5474878,1274285,1409736,8391000,7637000
NORTH EAST,Manipur,156947,182501,181608,53139,50048,143900,62000
NORTH EAST,Meghalaya,1002911,1216454,1271813,27311,154811,944800,1392000
NORTH EAST,Mizoram,68925,77517,166249,31265,87434,220600,213000
NORTH EAST,Nagaland,67526,106600,131577,11518,24325,99900,105000
NORTH EAST,Sikkim,1424961,1497302,1555388,335935,523208,1694600,1415000
NORTH EAST,Tripura,468569,517251,591405,159877,177805,244500,433000
SOUTH,Andhra Pradesh,165705262,195048953,237332356,70896591,93305151,192882800,254766000
SOUTH,Karnataka,180478338,214850176,228543754,77618325,81406187,182541500,284530000
SOUTH,Kerala,15765390,16701067,19573771,5329755,7598087,19212500,22521000
SOUTH,Lakshadweep,7647,11753,7820,3413,13504,23100,47000
SOUTH,Puducherry,1663377,1757793,1862919,1207080,1253521,1760900,2123000
SOUTH,Tamil Nadu,349921595,391983725,501731327,141879323,115394322,218992100,287187000
SOUTH,Telangana,85518446,93196484,83359326,40043694,32006517,60816400,58609000
WEST & CENTRAL,Chhattisgarh,17356731,19343899,17311817,2812322,4747408,23636200,26023000
WEST & CENTRAL,Goa,7737450,8015401,8064113,3561751,3330228,7186800,8628000
WEST & CENTRAL,Gujarat,48791973,54882983,59460607,19675047,24536519,137588200,180874000
WEST & CENTRAL,Madhya Pradesh,78397639,84345276,89034958,23619819,25595701,36053500,112129000
WEST & CENTRAL,Maharashtra,124270054,124270054,154823704,40497409,43754843,112809600,164748000
WEST & CENTRAL,UT of Dadra & Nagar Haveli and Daman and Diu,1428603,1523343,1531083,303803,299003,801800,1008000
