Nationality,Country of Nationality,Average duration of stay (in days)
North America,Canada,35.8
North America,U.S.A,29.7
North America,Total,31
Central and South Amercia,Argentina,18.2
Central and South Amercia,Brazil,21.7
Central and South Amercia,Mexico,15.6
Central and South Amercia,Others,23.3
Central and South Amercia,Total,20.5
Western Europe,Austria,20.8
Western Europe,Belgium,20.2
Western Europe,Denmark,15.7
Western Europe,Finland,16.1
Western Europe,France,21.9
Western Europe,Germany,18.7
Western Europe,Greece,16
Western Europe,Ireland,22.4
Western Europe,Italy,20
Western Europe,Netherlands,18.4
Western Europe,Norway,19.6
Western Europe,Portugal,33.3
Western Europe,Spain,17.7
Western Europe,Sweden,20
Western Europe,Switzerland,19.3
Western Europe,U.K.,22.9
Western Europe,Others,25
Western Europe,Total,21.7
Eastern Europe,Czech Rep.,18.2
Eastern Europe,Hungary,18.6
Eastern Europe,Kazakhstan,17.7
Eastern Europe,Poland,16.5
Eastern Europe,Russian Fed.,18.2
Eastern Europe,Ukraine,25.6
Eastern Europe,Others,18.3
Eastern Europe,Total,18.5
Africa,Egypt,27.4
Africa,Kenya,17.6
Africa,Mauritius,44.4
Africa,Nigeria,19
Africa,South Africa,41.9
Africa,Sudan,32
Africa,Tanzania,18.9
Africa,Others,38.1
Africa,Total,28.8
West Asia,Bahrain,24
West Asia,Iraq,24.1
West Asia,Israel,26.8
West Asia,Oman,10.9
West Asia,Saudi Arabia,17.1
West Asia,Turkey,13
West Asia,U.A.E.,11.7
West Asia,Yemen Arab Rep.,65.6
West Asia,Others,14.3
West Asia,Total,18.9
South Asia,Afghanistan,27.4
South Asia,Bangladesh,14.5
South Asia,Bhutan,21.6
South Asia,Iran,23.5
South Asia,Maldives,20.8
South Asia,Nepal,33.2
South Asia,Pakistan,28.4
South Asia,Sri Lanka,15.5
South Asia,Total,15.7
South East Asia,Indonesia,23.3
South East Asia,Malaysia,13.9
South East Asia,Myanmar,15.2
South East Asia,Philippines,18.4
South East Asia,Singapore,13.3
South East Asia,Thailand,20.5
South East Asia,Vietnam,16
South East Asia,Others,22.7
South East Asia,Total,15.9
East Asia,China,19.6
East Asia,Japan,17.4
East Asia,Rep.of China Taiwan,13.7
East Asia,Others,33.3
East Asia,Total,18.2
Australasia,Australia,27.5
Australasia,New Zealand,29.6
Australasia,Others,33.6
Australasia,Total,27.8
Not Classified elsewhere,Not Classified elsewhere,34.8
Grand Total,Grand Total,21.1
