Category,Nationality,Average Duration of Stay (in Days)
North America,Canada,41.6
North America,United  States of America,32.5
North America,Others,NA
North America,Total,35
Central And South America,Argentina,23.6
Central And South America,Brazil,23.8
Central And South America,Mexico,20.6
Central And South America,Others,21.4
Central And South America,Total,26.2
Western Europe,Austria,21
Western Europe,Belgium,24.4
Western Europe,Denmark,18.4
Western Europe,Finland,19.4
Western Europe,France,21.9
Western Europe,Germany,18.3
Western Europe,Greece,17
Western Europe,Ireland,23.5
Western Europe,Italy,23.3
Western Europe,Netherlands,15.7
Western Europe,Norway,20.5
Western Europe,Portugal,47.9
Western Europe,Spain,26
Western Europe,Sweden,23.5
Western Europe,Switzerland,18.7
Western Europe,United Kingdom,26
Western Europe,Others,23.5
Western Europe,Total,24.4
Eastern Europe,Czech Rep,20.4
Eastern Europe,Hungary,18.5
Eastern Europe,Kazakhstan,16.4
Eastern Europe,Poland,15.1
Eastern Europe,Russian Federation,16.4
Eastern Europe,Ukraine,23.9
Eastern Europe,Others,14.2
Eastern Europe,Total,17.9
Africa,Egypt,13.4
Africa,Kenya,27.7
Africa,Mauritius,18.1
Africa,Nigeria,49.7
Africa,South Africa,22.3
Africa,Sudan,36.5
Africa,Tanzania,28.6
Africa,Others,26.4
Africa,Total,28.9
West Asia,Bahrain,17.2
West Asia,Iraq,22
West Asia,Israel,19.7
West Asia,Oman,12.4
West Asia,Saudi Arabia,15.1
West Asia,Turkey,10.3
West Asia,United Arab Emirates,11.4
West Asia,Yemen,97.9
West Asia,Others,18.9
West Asia,Total,20.8
South Asia,Afghanistan,27.4
South Asia,Bangladesh,17.8
South Asia,Bhutan,14
South Asia,Iran,28.1
South Asia,Maldives,21.6
South Asia,Nepal,19.8
South Asia,Pakistan,63.8
South Asia,Sri Lanka,15
South Asia,Total,18.7
South East Asia,Indonesia,32.9
South East Asia,Malaysia,12.4
South East Asia,Myanmar,9.9
South East Asia,Philippines,24.1
South East Asia,Singapore,13.7
South East Asia,Thailand,13.7
South East Asia,Vietnam,14.1
South East Asia,Others,13.2
South East Asia,Total,14.3
East Asia,China,29.2
East Asia,Japan,25.4
East Asia,Korea(Republic Of),35.2
East Asia,Republic Of China Taiwan,19.7
East Asia,Others,22.3
East Asia,Total,28.6
Australasia,Australia,29.4
Australasia,New Zealand,32.3
Australasia,Others,27.5
Australasia,Total,30
