Country of Nationality,Total (in numbers),Average Duration of stay (in days)
North America - Canada,289259,44.84
North America - United States Of America,1403399,34.33
North America - Others,1,26.00
North America - Total,1692659,36.13
Central And South America - Argentina,4720,26.34
Central And South America - Brazil,12301,26.49
Central And South America - Mexico,8915,19.25
Central And South America - Others,20221,29.34
Central And South America - Total,46157,26.30
Western Europe - Austria,18375,23.99
Western Europe - Belgium,24172,25.30
Western Europe - Denmark,12331,19.36
Western Europe - Finland,8781,20.44
Western Europe - France,120282,25.74
Western Europe - Germany,141425,20.25
Western Europe - Greece,4988,17.08
Western Europe - Ireland,30959,27.45
Western Europe - Italy,62226,27.65
Western Europe - Netherlands,55019,18.68
Western Europe - Norway,13449,26.95
Western Europe - Portugal,69522,38.86
Western Europe - Spain,39658,23.28
Western Europe - Sweden,22372,28.76
Western Europe - Switzerland,25255,20.44
Western Europe - United Kingdom,641051,28.40
Western Europe - Others,10345,20.12
Western Europe - Total,1300210,26.66
Eastern Europe - Czech,6287,20.53
Eastern Europe - Hungary,4298,20.63
Eastern Europe - Kazakhstan,9546,18.94
Eastern Europe - Poland,18025,16.06
Eastern Europe - Russian Federation,97911,34.89
Eastern Europe - Ukraine,7304,43.14
Eastern Europe - Others,44593,24.27
Eastern Europe - Total,187964,29.18
Africa - Egypt,9612,12.57
Africa - Kenya,35743,28.75
Africa - Mauritius,24743,19.28
Africa - Nigeria,10072,49.17
Africa - South Africa,25860,24.74
Africa - Sudan,24930,27.02
Africa - Tanzania,18581,31.86
Africa - Others,84942,38.43
Africa - Total,234483,30.66
West Asia - Bahrain,9959,19.56
West Asia - Iraq,36277,21.76
West Asia - Israel,36418,24.89
West Asia - Oman,56474,13.41
West Asia - Saudi Arabia,18513,16.36
West Asia - Turkey,18996,11.15
West Asia - United Arab Emirates,43702,12.20
West Asia - Yemen,19022,68.00
West Asia - Others,20985,17.55
West Asia - Total,260346,20.36
South Asia - Afghanistan,1617,62.90
South Asia - Bangladesh,1277557,18.62
South Asia - Bhutan,20772,19.14
South Asia - Iran,13064,32.39
South Asia - Maldives,71707,17.69
South Asia - Nepal,138203,26.93
South Asia - Pakistan,16637,63.68
South Asia - Sri Lanka,183459,14.83
South Asia - Total,1723016,19.00
South East Asia - Indonesia,13961,24.65
South East Asia - Malaysia,126192,15.31
South East Asia - Myanmar,15963,31.89
South East Asia - Philippines,28379,18.87
South East Asia - Singapore,132668,15.53
South East Asia - Thailand,54367,26.47
South East Asia - Vietnam,37232,10.06
South East Asia - Others,4018,34.85
South East Asia - Total,412780,17.74
East Asia - China,11762,64.50
East Asia - Japan,64196,32.84
East Asia - Korea (republic Of),49423,44.54
East Asia - Others,11471,35.79
East Asia - Total,136852,39.95
Australasia - Australia,376898,34.67
Australasia - New Zealand,54974,42.48
Australasia - Others,3802,41.49
Australasia - Total,435674,35.71
Not Classified Elsewhere,7326,39.50
Grand Total,6437467,27.44
