NATIONALITY_REGION,COUNTRY_OF_NATIONALITY,YEAR_2017,YEAR_2018,YEAR_2019,YEAR_2020,YEAR_2021,YEAR_2022,YEAR_2023
AFRICA,Egypt,27.4,19.6,8.8,13.4,26.07,12.57,9.6
AFRICA,Kenya,17.6,27.1,20.1,27.7,33.92,28.75,25.3
AFRICA,Mauritius,44.4,17.4,13.7,18.1,47.07,19.28,16.8
AFRICA,Nigeria,19.0,42.0,29.2,49.7,53.53,49.17,49.8
AFRICA,South Africa,41.9,18.4,15.8,22.3,38.83,24.74,19.4
AFRICA,Sudan,32.0,28.2,22.0,36.5,49.03,27.02,40.9
AFRICA,Tanzania,18.9,31.2,20.5,28.6,38.63,31.86,30.5
AFRICA,Others,38.1,33.9,20.7,26.4,42.93,38.43,35.6
AUSTRALASIA,Australia,27.5,26.4,23.8,29.4,47.23,34.67,30.0
AUSTRALASIA,New Zealand,29.6,29.4,25.7,32.3,60.16,42.48,34.7
AUSTRALASIA,Others,33.6,27.9,29.1,27.5,53.25,41.49,33.9
CENTRAL AND SOUTH AMERICA,Argentina,18.2,17.7,18.1,23.6,56.39,26.34,20.4
CENTRAL AND SOUTH AMERICA,Brazil,21.7,21.3,17.9,23.8,50.07,26.49,21.0
CENTRAL AND SOUTH AMERICA,Mexico,15.6,15.9,13.4,20.6,47.86,19.25,16.2
CENTRAL AND SOUTH AMERICA,Others,23.3,22.6,19.0,21.4,46.57,29.34,24.0
EAST ASIA,China,19.6,19.1,16.2,29.2,98.15,64.5,33.3
EAST ASIA,Japan,17.4,17.2,15.0,25.4,53.79,32.84,20.8
EAST ASIA,Korea (Republic Of),0.0,0.0,20.6,35.2,68.03,44.54,28.9
EAST ASIA,Others,33.3,35.4,31.7,22.3,134.01,35.79,20.4
EASTERN EUROPE,Czech,18.2,17.3,15.5,20.4,39.79,20.53,17.5
EASTERN EUROPE,Hungary,18.6,18.7,15.3,18.5,33.04,20.63,16.3
EASTERN EUROPE,Kazakhstan,17.7,19.0,14.4,16.4,16.2,18.94,14.8
EASTERN EUROPE,Poland,16.5,16.4,13.6,15.1,24.03,16.06,13.5
EASTERN EUROPE,Russian Federation,18.2,18.9,15.6,16.4,27.45,34.89,27.5
EASTERN EUROPE,Ukraine,25.6,24.6,18.2,23.9,21.58,43.14,30.0
EASTERN EUROPE,Others,18.3,17.8,14.1,14.2,25.16,24.27,18.8
MIDDLE EAST,Bahrain,24.0,26.1,15.3,17.2,46.46,19.56,13.9
MIDDLE EAST,Iraq,24.1,21.6,17.7,22.0,26.22,21.76,20.1
MIDDLE EAST,Israel,26.8,24.7,21.0,19.7,20.79,24.89,24.8
MIDDLE EAST,Oman,10.9,11.2,11.5,12.4,19.21,13.41,12.0
MIDDLE EAST,Saudi Arabia,17.1,19.1,13.0,15.1,48.57,16.36,16.3
MIDDLE EAST,Turkey,13.0,16.9,7.7,10.3,17.32,11.15,8.9
MIDDLE EAST,United Arab Emirates,11.7,12.2,11.0,11.4,19.47,12.2,10.1
MIDDLE EAST,Yemen,65.6,62.1,51.4,97.9,72.61,68.0,67.4
MIDDLE EAST,Others,14.3,16.9,11.8,18.9,27.15,17.55,14.0
NORTH AMERICA,Canada,35.8,34.2,27.1,41.6,52.32,44.84,40.9
NORTH AMERICA,United States Of America,29.7,29.2,23.4,32.5,32.48,34.33,31.0
NORTH AMERICA,Others,17.4,16.85,13.4,19.7,64.0,26.0,9.3
SOUTH ASIA,Afghanistan,27.4,26.3,22.2,27.4,22.92,62.9,37.1
SOUTH ASIA,Bangladesh,14.5,14.5,13.9,17.8,25.45,18.62,15.4
SOUTH ASIA,Bhutan,21.6,21.3,16.0,14.0,31.77,19.14,13.2
SOUTH ASIA,Iran,23.5,26.2,19.8,28.1,65.4,32.39,24.2
SOUTH ASIA,Maldives,20.8,17.1,13.9,21.6,22.23,17.69,17.0
SOUTH ASIA,Nepal,33.2,22.0,21.9,19.8,24.39,26.93,25.7
SOUTH ASIA,Pakistan,28.4,30.9,29.9,63.8,62.21,63.68,76.4
SOUTH ASIA,Sri Lanka,15.5,13.8,11.1,15.0,21.58,14.83,12.9
SOUTH ASIA,Others,11.1,10.3,8.9,12.5,16.6,15.4,13.3
SOUTHEAST ASIA,Indonesia,23.3,19.1,16.2,32.9,31.23,24.65,15.6
