SITE,LOCATION,YEAR,DESCRIPTION,DOWNLOADED_DANCE_IMAGES
Ajanta Caves,Maharashtra,1983,"The caves at Ajanta represent a collection of Buddhist art from two periods. The first monuments date to the 2nd and 1st centuries BCE and were created by the followers of Theravada Buddhism. Further monuments were added in the 5th and 6th centuries CE, during the Vakataka dynasty, by the followers of Mahayana Buddhism. The monuments are masterpieces of Buddhist art and exerted strong artistic influence in India and the broader region, especially in Java.",Ajanta_Caves.jpg
Ellora Caves,Maharashtra,1983,"The Ellora Caves comprise 34 temples and monasteries that were cut into a 2 km (1.2 mi) long basalt cliff between the 7th and 11th centuries. As they were built by followers of Buddhism, Hinduism, and Jainism, they illustrate the religious tolerance of the period when they were constructed. The largest temple is the Kailasa Temple (pictured), which is elaborately decorated with sculptures and paintings.",Ellora_Caves.jpg
Agra Fort,Uttar Pradesh,1983,"Agra Fort is a 16th-century Mughal imperial fortress in Agra. It got its present layout under the Emperor Akbar. The complex contains several palaces (Jahangiri Mahal pictured), audience halls, and two mosques. Stylistically, it is one of the high points of Indo-Islamic architecture, with influences of Persian and Timurid architecture.",Agra_Fort.jpg
Taj Mahal,Uttar Pradesh,1983,"The Taj Mahal is considered the finest example of Indo-Islamic architecture. It was built in Agra on the bank of the Yamuna river as a mausoleum of Mumtaz Mahal, the Persian wife of the Mughal emperor Shah Jahan, between 1631 and 1648. It was designed by Ustad Ahmad Lahori and built in white marble inlaid with precious and semi-precious stones. The tomb is surrounded by four free-standing minarets. The complex also includes the main gate, a mosque, a guesthouse, and surrounding gardens.",Taj_Mahal.jpg
Sun Temple, Odisha,1984,"This Hindu temple was built in the 13th century and is one of the finest examples of Kalinga architecture. It represents the chariot of the solar deity Surya: on the outer sides, it has 24 wheels carved of stone and richly decorated, being pulled by six horses. Other decorative motifs include lions, musicians, dancers, and erotic scenes.",Sun_Temple_Konark.jpg
Group of Monuments at Mahabalipuram,Tamil Nadu,1984,"The monuments around the town of Mamallapuram were built in the 7th and 8th centuries, under the Pallava dynasty. There are different types of monuments: the rathas, which are chariot-shaped temples (Dharmaraja Ratha); the mandapas (rock-cut temples); rock reliefs, including the giant Descent of the Ganges; Shore Temple (pictured) and other temples and archaeological remains. The artistic expression of the monuments was influential in the broader region, including Cambodia, Vietnam, and Java.",Group_of_Monuments_at_Mahabalipuram.jpg
Kaziranga National Park,Assam,1985,"Kaziranga is located in the floodplains of the Brahmaputra River. It is one of the best wildlife sanctuaries in the world, home to the world's largest population of the Indian rhinoceros (pictured), as well as tigers, Asian elephants, wild water buffalo, and the Ganges river dolphin. The wetlands are important for migratory bird species.",Kaziranga_National_Park.jpg
Manas Wildlife Sanctuary,Assam,1985,"The sanctuary along the Manas River covers grasslands on floodplains and forests, both in lowlands and in hills. The area is a biodiversity hotspot and home to several endangered species, including the Indian rhinoceros, Asian elephant (pictured), wild water buffalo, tiger, sloth bear, pygmy hog, Gee's golden langur, and Bengal florican. The forests are constantly being renewed after floods and changes in the river courses. Between 1992 and 2011, the site was listed as endangered due to poaching and the activities of Bodo militias.",Manas_Wildlife_Sanctuary.jpg
Keoladeo National Park,Rajasthan,1985,"Initially a duck-hunting reserve for Maharajas, Keoladeo is a man-made and man-maintained wetland. It is important both for migratory and resident birds, especially waterbirds. Over 350 species of birds have been recorded, including 15 species of herons, the Siberian crane, and the greater spotted eagle. Pictured here is a group of bar-headed geese and demoiselle cranes flying together in the park. The park is also protected under the Ramsar Convention.",Keoladeo_National_Park.jpg
Churches and Convents of Goa,Goa,1986,"Old Goa was the capital of Portuguese India, a colony that lasted for 450 years until 1961. The site comprises seven churches and convents that were built in the 16th and 17th centuries in the Gothic, Manueline, Mannerist, and Baroque styles, but which were also adapted to suit local techniques and resources. They spread architectural influences to Asian countries where Catholic missions were established. The Basilica of Bom Jesus, where Saint Francis Xavier is buried, is pictured.",Churches_and_Convents_of_Goa.jpg
