STATE,FOLK_DANCE,DESCRIPTION,DOWNLOADED_DANCE_IMAGES
Andhra Pradesh,Kuchipudi,"Kuchipudi is one of the eight major Indian classical dance forms that originated in the Krishna district of Andhra Pradesh. Named after the village of Kuchipudi where it was nurtured by Brahmin families, this dance form is a perfect amalgamation of dance, drama, and music. The dance is characterized by its graceful, fluid movements, quick silver footwork, and distinctive use of eyes and facial expressions to convey emotions. Traditionally performed by male dancers who played both male and female roles, Kuchipudi incorporates both Natya (dramatic element) and Nritya (pure dance) along with Nritta (rhythmic dance). The performances often depict stories from Hindu epics like Ramayana, Mahabharata, and Puranas, with the dancer seamlessly transitioning between narrative and pure dance sequences. The costume includes a pleated saree, traditional jewelry, and ankle bells, while the music follows Carnatic classical tradition. What makes Kuchipudi unique is its inclusion of singing by the dancers themselves, dramatic dialogues, and the famous plate dance (tarangam) where the performer dances on the edges of a brass plate while balancing a pot of water on their head, demonstrating incredible skill and control.",andhra_kuchupudi.jpg
Andhra Pradesh,Lambadi,A vibrant folk dance performed by the Lambadi tribal community featuring colorful costumes mirror work and energetic movements,None
Andhra Pradesh,Dhimsa,A traditional dance of the tribal communities in Andhra Pradesh performed during festivals with rhythmic steps and folk songs,None
Andhra Pradesh,Kolattam,A stick dance where dancers move in circular formations striking sticks in rhythm creating melodious sounds,None
Andhra Pradesh,Dappu,A drum dance performed during festivals where dancers play the dappu drum while executing synchronized movements,None
Arunachal Pradesh,Buiya,"Buiya is a traditional folk dance of Arunachal Pradesh that embodies the rich cultural heritage of the northeastern state's diverse tribal communities. This dance form is deeply rooted in the agricultural lifestyle of the people and is primarily performed during harvest festivals and community celebrations to express gratitude for nature's bounty. The dance is characterized by simple yet rhythmic movements that mimic the daily activities of farming, hunting, and community life. Performers wear traditional tribal attire featuring colorful handwoven fabrics, intricate beadwork, and feathered headgear that varies according to the specific tribe performing the dance. The men typically wear traditional jackets and lungis with decorative accessories, while women don beautiful wraparound skirts and blouses adorned with silver ornaments and tribal jewelry. The dance is accompanied by traditional folk songs sung in local dialects, creating a melodious harmony that resonates with the natural surroundings. Musical instruments like drums, gongs, and bamboo flutes provide the rhythmic foundation, while the dancers move in synchronized formations that often represent the unity and harmony of tribal community life. Buiya serves not only as entertainment but also as a medium to preserve and pass down cultural values, stories, and traditions from one generation to the next, making it an integral part of Arunachal Pradesh's cultural identity.",arunachal_buiya.jpg
Arunachal Pradesh,Chalo,A folk dance celebrating community harmony and seasonal changes performed with traditional costumes and instruments,None
Arunachal Pradesh,Wancho,A war dance of the Wancho tribe featuring aggressive movements and traditional weapons as props,None
Arunachal Pradesh,Pasi Kongki,A dance performed by women during religious ceremonies with graceful hand movements and traditional attire,None
Arunachal Pradesh,Ponung,A dance celebrating fertility and prosperity performed during agricultural festivals,None
Arunachal Pradesh,Popir,A traditional dance form showcasing the cultural heritage of Arunachal Pradesh tribes,None
Assam,Bihu,"Bihu is the most celebrated and iconic folk dance of Assam, performed during the vibrant Bihu festival that marks the Assamese New Year and the arrival of spring. This exuberant dance form is deeply intertwined with the agricultural cycle and represents the joy, fertility, and prosperity of the land. There are three types of Bihu festivals - Rongali Bihu (spring), Kongali Bihu (autumn), and Bhogali Bihu (winter), with Rongali Bihu being the most significant and when the dance is prominently performed. The dance is characterized by brisk, energetic movements that reflect the vibrancy of youth and the celebration of life. Male dancers perform vigorous steps with rapid hand and body movements, while female dancers execute graceful, flowing movements with their hands and hips, often depicting the sowing and harvesting of crops. The traditional costume for women includes the beautiful Assamese mekhela chador (two-piece traditional dress) in vibrant colors, complemented by traditional gold jewelry including the distinctive Assamese gamkharu (traditional bangles), earrings, and hair ornaments. Men wear dhoti and kurta with a traditional Assamese scarf called gamosa. The dance is accompanied by traditional musical instruments including the dhol (drum), pepa (hornpipe), gogona (jaw harp), taal (cymbals), and baanhi (flute), creating an infectious rhythm that embodies the spirit of celebration and community bonding that defines Assamese culture.",assam_bihu.jpg
Assam,Bagurumba,A traditional dance of the Bodo community in Assam representing the movement of butterflies with graceful arm movements,None
Assam,Maharas,A devotional dance depicting the divine love of Radha and Krishna performed in circular formations,None
Assam,Kaligopal,A folk dance dedicated to Lord Krishna featuring rhythmic movements and devotional songs,None
Assam,Naga Dance,A war dance performed by the Naga community with traditional weapons and fierce expressions,None
Assam,Khel Gopal,A dance form celebrating Lord Krishna with playful movements and folk music,None
Assam,Sattriya,A classical dance form of Assam developed in the monasteries with spiritual themes and precise movements,None
Bihar,Bidesia,"Bidesia is a highly popular folk dance-drama form of Bihar that combines dance, music, theater, and social commentary into a compelling performance art. Created by the legendary Bhikhari Thakur in the early 20th century, Bidesia literally means 'one who lives in a foreign land' and originally depicted the plight of migrant workers who left their villages for employment in distant places, leaving behind their families and loved ones. This emotionally charged performance art addresses various social issues including poverty, migration, women's condition, and rural-urban divide through a perfect blend of humor, satire, and pathos. The dance involves elaborate character portrayals where male performers traditionally play both male and female roles, showcasing their versatility in acting, singing, and dancing. The performances are characterized by expressive facial expressions, dramatic dialogues delivered in the local Bhojpuri dialect, and dance sequences that range from gentle, graceful movements to vigorous, energetic expressions depending on the emotional content of the scene. The costumes vary according to the characters being portrayed - from simple rural attire to elaborate traditional dresses for female characters, complete with jewelry and makeup. Musical accompaniment includes traditional instruments like tabla, harmonium, dholak, and manjira, while the songs often contain moral messages and social awareness themes. Bidesia performances are typically held during festivals, fairs, and community gatherings, serving as both entertainment and a medium for social education and cultural preservation in rural Bihar.",bihar_bidesia.jpg
Bihar,Jatra,A traditional dance drama combining dance music and theatre to narrate mythological and social stories,None
Bihar,Sama-Chakwa,A dance performed during the Sama-Chakwa festival celebrating the bond between brothers and sisters,None
Bihar,Jata-Jatin,A folk dance representing the eternal love story performed during festivals and celebrations,None
