State,Place,City,ImageName
gujarat,Statue of Unity,Vadodara,gujarat_vadodara_statue_of_unity.jpg
gujarat,Kaba Gandhi No Delo,Rajkot,gujarat_rajkot_kaba_gandhi_no_delo.jpg
gujarat,Khambhalida Caves,Rajkot,gujarat_rajkot_khambhalida_caves.jpg
gujarat,Lakhota Palace Museum,Rajkot,gujarat_rajkot_lakhota_palace_museum.jpg
gujarat,Ramakrishna Ashram,Rajkot,gujarat_rajkot_ramakrishna_ashram.jpg
gujarat,Regional Science Centre Rajkot,Rajkot,gujarat_rajkot_regional_science_centre_rajkot.jpg
gujarat,Hingolgarh Nature Education Sanctuary,Rajkot,gujarat_rajkot_hingolgarh_nature_education_sanctuary.jpg
gujarat,Rampara Wildlife Sanctuary,Rajkot,gujarat_rajkot_rampara_wildlife_sanctuary.jpg
gujarat,Statue of Lord Hanuman,Rajkot,gujarat_rajkot_statue_of_lord_hanuman.jpg
gujarat,Gir National Park,Rajkot,gujarat_rajkot_gir_national_park.jpg
gujarat,Maharaja Fateh Singh Museum,Vadodara,gujarat_vadodara_maharaja_fateh_singh_museum.jpg
gujarat,Mahakali Temple,Vadodara,gujarat_vadodara_mahakali_temple.jpg
gujarat,Laxmi Vilas Palace,Vadodara,gujarat_vadodara_laxmi_vilas_palace.jpg
gujarat,Chandod,Vadodara,gujarat_vadodara_chandod.jpg
gujarat,Sikandar Shahs Tomb,Vadodara,gujarat_vadodara_sikandar_shahs_tomb.jpg
gujarat,Vadnagar Museum,Vadnagar,gujarat_vadnagar_vadnagar_museum.jpg
himachal-pradesh,Mountaineering Institute,Manali,himachal-pradesh_manali_mountaineering_institute.jpg
west-bengal,Park Street,Kolkata,west-bengal_kolkata_park_street.jpg
west-bengal,Howrah Bridge,Kolkata,west-bengal_kolkata_howrah_bridge.jpg
karnataka,Maravanthe Beach,Gokarna,karnataka_gokarna_maravanthe_beach.jpg
kerala,Cherai Beach,Kochi,kerala_kochi_cherai_beach.jpg
punjab,Sodal Mandir,Jalandhar,punjab_jalandhar_sodal_mandir.jpg
punjab,Baba Sodal,Jalandhar,punjab_jalandhar_baba_sodal.jpg
karnataka,Jamkhandi,Vijayapura,karnataka_vijayapura_jamkhandi.jpg
karnataka,Gol Gumbaz,Vijayapura,karnataka_vijayapura_gol_gumbaz.jpg
karnataka,Archaeological Museum,Vijayapura,karnataka_vijayapura_archaeological_museum.jpg
karnataka,Shivagiri Temple,Vijayapura,karnataka_vijayapura_shivagiri_temple.jpg
telangana,Salar Jung Museum,Hyderabad,telangana_hyderabad_salar_jung_museum.jpg
punjab,Gurdwara Sri Guru Ka Baag,Kapurthala,punjab_kapurthala_gurdwara_sri_guru_ka_baag.jpg
punjab,Gurudwara Ber Sahib,Kapurthala,punjab_kapurthala_gurudwara_ber_sahib.jpg
maharashtra,Ghatotkach Caves,Chhatrapati Sambhaji Nagar,maharashtra_chhatrapati_sambhaji_nagar_ghatotkach_caves.jpg
maharashtra,Bhadra Maruti,Chhatrapati Sambhaji Nagar,maharashtra_chhatrapati_sambhaji_nagar_bhadra_maruti.jpg
maharashtra,Soneri Mahal,Chhatrapati Sambhaji Nagar,maharashtra_chhatrapati_sambhaji_nagar_soneri_mahal.jpg
maharashtra,Salim Ali Lake and Bird Sanctuary,Chhatrapati Sambhaji Nagar,maharashtra_chhatrapati_sambhaji_nagar_salim_ali_lake_and_bird_sanctuary.jpg
maharashtra,Panchakki,Chhatrapati Sambhaji Nagar,maharashtra_chhatrapati_sambhaji_nagar_panchakki.jpg
maharashtra,Paithan,Chhatrapati Sambhaji Nagar,maharashtra_chhatrapati_sambhaji_nagar_paithan.jpg
maharashtra,Jayakwadi Bird Sanctuary,Chhatrapati Sambhaji Nagar,maharashtra_chhatrapati_sambhaji_nagar_jayakwadi_bird_sanctuary.jpg
maharashtra,Grishneshwar Temple,Chhatrapati Sambhaji Nagar,maharashtra_chhatrapati_sambhaji_nagar_grishneshwar_temple.jpg
